State,School.Type,Year,Sum.Type.loan,Sum.Type.grant,Sum.Type.campus,Total.Disbursement
NE,Public,1213,334786917,112297023.5,10387288,457471228.5
NH,Private,1213,343624192,30498472.19,12542768,386665432.2
NH,Proprietary,1213,26890469,10398891.69,1114621,38403981.69
NH,Public,1213,248187090,44901579.05,12297308,305385977.1
NJ,Private,1213,394773639,75765073.63,21308855,491847567.6
NJ,Proprietary,1213,208188730,99022198.06,3533010,310743938.1
NJ,Public,1213,1081791556,475748665.5,31438893,1588979115
NM,Private,1213,14496880,1545913,538813,16581606
NM,Proprietary,1213,23155590,7820197.17,625466,31601253.17
NM,Public,1213,330346168,213776192.9,15622746,559745106.9
NV,Private,1213,67186746,2182351.3,419429,69788526.3
NV,Proprietary,1213,33793239,15929618.95,388108,50110965.95
NV,Public,1213,248781798,115986253.8,5871160,370639211.8
NY,Private,1213,4369501891,480817974.5,200743000,5051062866
NY,Proprietary,1213,589476593,304623999.3,14376793,908477385.3
NY,Public,1213,1855994461,1208585601,74041552,3138621614
OH,Private,1213,1169416405,170424632.5,51892326,1391733364
OH,Proprietary,1213,205089236,91700924.63,4141534,300931694.6
OH,Public,1213,2606966903,776338442.1,59380427,3442685772
OK,Private,1213,171394831,30599711.26,10921916,212916458.3
OK,Proprietary,1213,59893073,35503370.08,1143612,96540055.08
OK,Public,1213,658780724,284650939.9,17866438,961298101.9
OR,Private,1213,407403884,32843341.97,15705954,455953180
OR,Proprietary,1213,103766776,42871602.08,1531763,148170141.1
OR,Public,1213,965936386,353078269.1,28934810,1347949465
PA,Private,1213,2851530986,275297048,114077214,3240905248
PA,Proprietary,1213,535848478,211568093,12069751,759486322
PA,Public,1213,1936655839,497442443,62999283,2497097565
RI,Private,1213,319845234,46310138.14,29493449,395648821.1
RI,Proprietary,1213,25858915,4111838.44,415283,30386036.44
RI,Public,1213,152531216,54579354.61,6083253,213193823.6
SC,Private,1213,247838543,67766265.12,11324456,326929264.1
SC,Proprietary,1213,48754424,14445210.72,508437,63708071.72
SC,Public,1213,954908814,356478553.3,21660073,1333047440
SD,Private,1213,41188503,7946669.77,3055083,52190255.77
SD,Proprietary,1213,108612900,35533558.87,1210330,145356788.9
SD,Public,1213,206173906,53240854.74,9611948,269026708.7
TN,Private,1213,715802538,105535178.3,28568316,849906032.3
TN,Proprietary,1213,192474202,79066808.67,2142085,273683095.7
TN,Public,1213,916560624,419590735.2,24967050,1361118409
TX,Private,1213,1004913520,180916683.5,39570663,1225400867
TX,Proprietary,1213,446646319,230419166.3,8342398,685407883.3
TX,Public,1213,3783797429,1872728592,87898695,5744424716
UT,Private,1213,329084162,119885318.4,1300182,450269662.4
UT,Proprietary,1213,174190480,68196211.32,2020442,244407133.3
UT,Public,1213,415024607,237224801.6,18896345,671145753.6
VA,Private,1213,1210202849,163937486,24403068,1398543403
VA,Proprietary,1213,240284170,112328184.9,4964790,357577144.9
VA,Public,1213,1371506913,434623806.3,32512757,1838643476
VT,Private,1213,166196557,13197804.64,11550188,190944549.6
VT,Proprietary,1213,5197954,1304108.24,116234,6618296.24
VT,Public,1213,153368150,29452409.53,9222783,192043342.5
WA,Private,1213,400179463,38464917.59,22976946,461621326.6
WA,Proprietary,1213,101189481,48114628.49,1748653,151052762.5
WA,Public,1213,897599601,405335926.3,35340933,1338276460
WI,Private,1213,465281661,59400990.55,22598987,547281638.6
WI,Proprietary,1213,102314387,35510984.77,2092865,139918236.8
WI,Public,1213,1040274907,342220721.8,59902919,1442398548
WV,Private,1213,70692021,12676294.71,4390821,87759136.71
WV,Proprietary,1213,232597171,84846209.77,1643378,319086758.8
WV,Public,1213,473696554,140482939.1,12307849,626487342.1
WY,Proprietary,1213,38119295,13597006,3454563,55170864
WY,Public,1213,61619941,30450798.49,2913528,94984267.49
AK,Private,1314,4172564,759311.5,115415,5047290.5
AK,Proprietary,1314,2956193,1632453.97,510094,5098740.97
AK,Public,1314,69819900,25118442.02,1640611,96578953.02
AL,Private,1314,239440189,49611746.81,9597329,298649264.8
AL,Proprietary,1314,278947850,119474371.5,2743082,401165303.5
AL,Public,1314,1067976681,382524082.5,25687131,1476187895
AR,Private,1314,111361813,27193250.77,4694641,143249704.8
AR,Proprietary,1314,14728326,10264500.23,7722,25000548.23
AR,Public,1314,554457529,267508775.5,16755088,838721392.5
