"","State","School.Type","Year","Sum.Type.loan","Sum.Type.grant","Total.Disbursement"
"441","MO","Proprietary","1516",66143297,44105516.88,110248813.88
"442","MO","Proprietary","1011",224719662,120355874.47,345075536.47
"443","MO","Proprietary","1112",190427478,86702144.58,277129622.58
"444","MO","Proprietary","1213",166570072,78092188.74,244662260.74
"445","MO","Public","1314",891003637,353282538.04,1244286175.04
"446","MO","Public","1415",851099706,336907089.27,1188006795.27
"447","MO","Public","1516",767146840,296138381.98,1063285221.98
"448","MO","Public","1011",908541981,395840993.89,1304382974.89
"449","MO","Public","1112",961846101,384893915.04,1346740016.04
"450","MO","Public","1213",918588301,366218683.18,1284806984.18
"451","MS","Private","1011",141682604,30945012.47,172627616.47
"452","MS","Private","1112",142891500,28565136.87,171456636.87
"453","MS","Private","1213",155764620,26829980.71,182594600.71
"454","MS","Private","1314",166751084,26358622.89,193109706.89
"455","MS","Private","1415",166231751,27097166.33,193328917.33
"456","MS","Private","1516",135365026,25081345.59,160446371.59
"457","MS","Proprietary","1314",3803575,5677795.16,9481370.16
"458","MS","Proprietary","1415",4018315,4985285.93,9003600.93
"459","MS","Proprietary","1516",1871409,3172886.54,5044295.54
"460","MS","Proprietary","1011",4796063,8279145.38,13075208.38
"461","MS","Proprietary","1112",5367250,6059596.88,11426846.88
"462","MS","Proprietary","1213",5602015,5921865.89,11523880.89
"463","MS","Public","1314",577339410,327904533.43,905243943.43
"464","MS","Public","1415",572130900,320471752.69,892602652.69
"465","MS","Public","1516",512132982,292707244.89,804840226.89
"466","MS","Public","1011",595357324,423360814.22,1018718138.22
